366 111
240 43
239 70
240 99
240 126
240 155
268 184
296 182
324 182
351 182
380 183
408 183
407 210
408 240
380 239
351 238
323 238
296 238
268 239
240 268
239 297
240 325
239 352
239 380
239 408
211 407
183 408
183 380
183 352
183 323
183 297
183 268
155 239
126 238
99 239
70 239
42 239
15 240
15 211
15 182
42 183
71 183
99 183
127 183
155 184
183 155
183 126
183 99
183 71
183 43
183 15
211 14
211 42
211 71
212 99
211 126
212 155
212 187
