111 110
43 183
71 183
98 182
128 184
156 183
183 155
184 127
185 99
183 71
184 43
183 14
212 14
240 15
240 43
239 70
240 99
240 126
240 155
268 184
296 182
324 182
351 182
380 183
408 183
407 210
408 240
380 239
351 238
323 238
296 238
268 239
240 268
239 297
240 325
239 352
239 380
239 408
211 407
183 408
183 380
183 352
183 323
183 297
183 268
155 239
126 238
99 239
70 239
42 239
15 240
15 211
42 211
71 211
99 212
126 212
154 212
188 211
