114 362
183 380
183 352
183 324
183 295
183 268
155 240
127 240
99 238
71 238
43 239
15 239
15 212
15 182
43 183
71 183
98 182
128 184
156 183
183 155
184 127
185 99
183 71
184 43
183 14
212 14
240 15
240 43
239 70
240 99
240 126
240 155
268 184
296 182
324 182
351 182
380 183
408 183
407 210
408 240
380 239
351 238
323 238
296 238
268 239
240 268
239 297
240 325
239 352
239 380
239 408
212 409
211 379
212 351
211 324
211 296
213 268
213 238
